date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-10-04 18:53:38,JoeBiden,CNN,1563,5466,23386,"This is who Donald Trump is. A president who abuses the power of the Oval Office to win re-election, turns his back on the fight for democracy in Hong Kong, and puts his own self-interest above the public good. We have to show the world who we are.https://twitter.com/CNN/status/1179895777948311553 …",,,,1180194280536707072,https://twitter.com/JoeBiden/status/1180194280536707072
2019-10-04 17:42:00,JoeBiden,,245,236,972,"Extreme risk laws save lives. Period. As president, I will incentivize states to adopt these important laws to help keep guns out of dangerous hands. Read my full plan to end our gun violence epidemic: http://JoeBiden.com/GunSafety pic.twitter.com/gVurhsNdlO",,,,1180176254143778816,https://twitter.com/JoeBiden/status/1180176254143778816
2019-10-04 16:02:26,JoeBiden,DMRegister,646,1825,7115,"It's clear President Trump doesn't care about the farmers and manufacturers being crushed by his reckless trade war—just this week, 160 workers were laid off in the Quad Cities. Enough. As president, I will end these failed policies and put American workers first.https://twitter.com/DMRegister/status/1179456009498222593 …",,,,1180151199644946432,https://twitter.com/JoeBiden/status/1180151199644946432
2019-10-04 14:45:00,JoeBiden,,1552,4511,20969,"I’m not surprised President Trump asked foreign governments for help to beat me and that his special interest friends are spending millions to attack me. But we can't let the lies, smears, and distortions distract us from what's at stake in this election.pic.twitter.com/RE9qQ59wHB",,,,1180131710551384066,https://twitter.com/JoeBiden/status/1180131710551384066
2019-10-04 00:25:00,JoeBiden,,6421,20115,147466,"The idea of Donald Trump attacking anyone’s integrity is a joke.",,,,1179915284297191425,https://twitter.com/JoeBiden/status/1179915284297191425
2019-10-03 23:40:00,JoeBiden,,382,696,4025,"Our children should not have to worry about their safety at school. Enough is enough. We must take action to end our gun violence epidemic. http://JoeBiden.com/GunSafety pic.twitter.com/FKVffIr49h",,,,1179903959810617349,https://twitter.com/JoeBiden/status/1179903959810617349
2019-10-03 21:45:00,JoeBiden,,367,492,2764,"You should need to pass a background check to buy a gun. Period. I will enact universal background check legislation and close loopholes that allow guns to fall into the wrong hands. Read my full plan to end gun violence: http://JoeBiden.com/GunSafety pic.twitter.com/pEl8KBvwct",,,,1179875019209371648,https://twitter.com/JoeBiden/status/1179875019209371648
2019-10-03 19:47:09,JoeBiden,CNNPolitics,3387,11620,57984,"Mr. President, you cannot extort foreign governments to help you win re-election. It’s an abuse of power. It violates your oath of office. And it jeopardizes our national security. I know you want to rig the primary and pick your opponent, but I’m not going anywhere.https://twitter.com/CNNPolitics/status/1179770264982302720 …",,,,1179845362506448897,https://twitter.com/JoeBiden/status/1179845362506448897
2019-10-03 18:55:00,JoeBiden,,1786,2399,13812,"We’re going to do more than just beat President Trump — we’re going to beat him like a drum.pic.twitter.com/A09Dh7Uqmp",,,,1179832237182742530,https://twitter.com/JoeBiden/status/1179832237182742530
2019-10-03 17:40:00,JoeBiden,,196,382,1683,"All the progress we've made on domestic violence and sexual assault has been because of people like Bonnie Campbell. Grateful for her kind words in reflecting on the history of the Violence Against Women Act.https://www.thegazette.com/subject/opinion/guest-columnist/biden-fought-to-pass-violence-against-women-act-20191001 …",,,,1179813362739232768,https://twitter.com/JoeBiden/status/1179813362739232768
2019-10-03 03:55:00,JoeBiden,,3125,8906,50753,"I will put the integrity of my whole career in public service to this nation up against President Trump's long record of lying, cheating, and stealing any day of the week.pic.twitter.com/ABf0robBtr",,,,1179605744745758720,https://twitter.com/JoeBiden/status/1179605744745758720
2019-10-03 00:05:00,JoeBiden,,521,946,4616,"Because of the courage and determination of folks like @GabbyGiffords and groups like @AMarch4OurLives, the fight for gun safety reform has gone from a cause to a movement. We will end our gun violence epidemic — together. #2020GunSafetypic.twitter.com/khPWpR0FOc",,@GabbyGiffords @AMarch4OurLives,#2020GunSafetypic,1179547863577223168,https://twitter.com/JoeBiden/status/1179547863577223168
2019-10-02 23:21:00,JoeBiden,,798,3894,13738,"President Trump broke his promise to America's farmers. He campaigned on having their backs, but now his administration is abandoning them and claiming family farms might not survive. I will expand opportunities for our farmers — not count them out.http://www.startribune.com/trump-farm-secretary-blames-china-for-trade-wars/561869562/ …",,,,1179536790312620039,https://twitter.com/JoeBiden/status/1179536790312620039
2019-10-02 22:05:00,JoeBiden,,261,848,4721,"52 years ago, Thurgood Marshall became the first African American Supreme Court Justice. A legal giant in the struggle for civil rights—he relentlessly pushed America closer to our promise of liberty, equality, and justice for all. His voice forever changed the course of history.",,,,1179517664630206469,https://twitter.com/JoeBiden/status/1179517664630206469
2019-10-02 21:40:00,JoeBiden,,448,241,1242,"En el 1994, el senador Feinstein y yo dirigimos la lucha para prohibir las armas de fuego para asalto y las revistas de alta capacidad. Luchamos contra el @NRA y los vencimos. Como presidente, volveré a prohibir estas armas de guerra. Las sacaremos de nuestras calles.",,@NRA,,1179511372893360128,https://twitter.com/JoeBiden/status/1179511372893360128
2019-10-02 21:20:00,JoeBiden,,336,441,2153,"In 1994, Senator Feinstein and I led the fight to ban assault weapons and high-capacity magazines. We took on the @NRA and got it done. As president, I’ll ban these weapons of war once again. We will get them off our streets. http://JoeBiden.com/GunSafety pic.twitter.com/u06FKHQv6D",,@NRA,,1179506339812450304,https://twitter.com/JoeBiden/status/1179506339812450304
2019-10-02 19:59:23,JoeBiden,GiffordsCourage,204,310,1445,"I'm about to take the stage at the #2020GunSafety Forum in Las Vegas to discuss my track record of taking on the @NRA and my new plan to end our gun violence epidemic. Read the full plan at http://JoeBiden.com/gunsafety and then watch live:https://twitter.com/GiffordsCourage/status/1179440723319373824 …",,@NRA,#2020GunSafety,1179486054002376710,https://twitter.com/JoeBiden/status/1179486054002376710
2019-10-02 19:49:19,JoeBiden,realDonaldTrump,3196,7827,59356,"This is not how an American president should act.https://twitter.com/realDonaldTrump/status/1179422987684077568 …",,,,1179483520026198023,https://twitter.com/JoeBiden/status/1179483520026198023
2019-10-02 18:35:00,JoeBiden,,336,480,2813,"Thoughts and prayers won't end our gun violence epidemic. We need courage, and we need leadership. It's past time we take on the @NRA and pass common-sense gun safety reform. Today, I released my plan to end our gun violence epidemic: http://Joebiden.com/gunsafety",,@NRA,,1179464816273965056,https://twitter.com/JoeBiden/status/1179464816273965056
2019-10-02 15:28:06,JoeBiden,,475,3120,31972,". @DrBiden and I are sending our best wishes to @BernieSanders, Jane, and the whole Sanders family. Anyone who knows Bernie understands what a force he is. We are confident that he will have a full and speedy recovery and look forward to seeing him on the trail soon.",,@DrBiden @BernieSanders,,1179417780556312576,https://twitter.com/JoeBiden/status/1179417780556312576
2019-10-02 02:34:51,JoeBiden,nytimes,4062,10005,68142,"President Trump is morally unfit to lead our country.https://twitter.com/nytimes/status/1179157059432042497 …",,,,1179223189408419840,https://twitter.com/JoeBiden/status/1179223189408419840
2019-10-02 01:02:00,JoeBiden,,4476,7884,51076,"President Trump asked a foreign government to interfere in our elections, and now he's spending $10 million on attack ads against me. It's clear that he is trying to influence the primary and pick his opponent. Why? Because he knows I’ll beat him like a drum.",,,,1179199820461797376,https://twitter.com/JoeBiden/status/1179199820461797376
2019-10-01 23:05:00,JoeBiden,,1070,1757,8753,"Weapons of war have no place on our streets. We must take on the @NRA and ban assault weapons and high-capacity magazines. I’ve done it before, and I’ll do it again in the White House.pic.twitter.com/hdVTM6YVF7",,@NRA,,1179170376506474496,https://twitter.com/JoeBiden/status/1179170376506474496
2019-10-01 22:10:00,JoeBiden,,172,177,935,"One of my favorite parts of debate night has become meeting our contest winners from around the country. God love ya, JoAnne. Thanks for coming to Houston. Enter for your chance to join me at the next Democratic debate: https://joe.link/2p9YKAL pic.twitter.com/uPpiaxGe2s",,,,1179156534808453121,https://twitter.com/JoeBiden/status/1179156534808453121
2019-10-01 21:15:48,JoeBiden,nytimes,813,3438,9449,"The brave people of Hong Kong deserve the full support of the United States as they demand the civil liberties and autonomy promised to them. Violent suppression is unacceptable. The world is watching.https://twitter.com/nytimes/status/1179044588285243394 …",,,,1179142897184186370,https://twitter.com/JoeBiden/status/1179142897184186370
2019-10-01 19:57:00,JoeBiden,,941,2496,12817,"President Trump works for the @NRA. I’ll work for the American people.https://www.nytimes.com/2019/09/27/us/politics/trump-lapierre-nra-impeachment.html …",,@NRA,,1179123064275161095,https://twitter.com/JoeBiden/status/1179123064275161095
2019-10-01 18:10:00,JoeBiden,,496,2021,11554,"Two years ago, we watched in horror as 58 precious lives were cut short in the deadliest mass shooting in modern US history. As we remember those we lost in Las Vegas, we must honor them with action. We cannot let the scourge of gun violence tear our communities apart any longer.",,,,1179096137036382209,https://twitter.com/JoeBiden/status/1179096137036382209
2019-09-30 21:53:00,JoeBiden,,3533,1894,9832,"Wonder why President Trump is lying about me? It's because he knows that I will beat him like a drum. Chip in $5 before tonight’s public fundraising deadline to help us defeat Donald Trump and stop the outrageous lying and cheating he engages in: https://joe.link/2oCaUlt pic.twitter.com/yWcclnx5Zo",,,,1178789868811341824,https://twitter.com/JoeBiden/status/1178789868811341824
2019-09-30 18:55:00,JoeBiden,,4418,2435,13392,"Being middle class isn’t a number. It’s a value set. It’s about the issues that matter to every American family: a good education, economic opportunity, access to quality, affordable health care. We've got to rebuild the middle class and, this time, ensure everyone comes along.",,,,1178745073564975105,https://twitter.com/JoeBiden/status/1178745073564975105
2019-09-30 15:30:00,JoeBiden,,234,774,4311,"Harris County Deputy Sandeep Dhaliwal was a hero and a trailblazer who selflessly served his community every day. @DrBiden and I are keeping his family and loved ones in our hearts.https://www.nbcnews.com/news/us-news/texas-deputy-who-wore-sikh-turban-beard-job-killed-during-n1059866 …",,@DrBiden,,1178693484049510400,https://twitter.com/JoeBiden/status/1178693484049510400
2019-09-30 13:54:07,JoeBiden,,500,3270,17035,"Grateful for the leadership of @fred_guttenberg for finding purpose in tragedy. We will beat the @NRA and end our gun violence epidemic.pic.twitter.com/V5FaK1xDnu",,@fred_guttenberg @NRA,,1178669353987903490,https://twitter.com/JoeBiden/status/1178669353987903490
2019-09-30 00:45:00,JoeBiden,,4922,7678,55452,"President Trump is trying to hijack this election. We cannot let him get away with it.",,,,1178470766049992704,https://twitter.com/JoeBiden/status/1178470766049992704
2019-09-29 23:59:00,JoeBiden,,1682,2299,12800,"We can combat climate change. We can end our gun violence epidemic. We can ensure every American has access to quality, affordable health care. It’s all within our reach if we unite this country. There’s not a single thing we cannot do — together.",,,,1178459189783470082,https://twitter.com/JoeBiden/status/1178459189783470082
2019-09-29 23:32:00,JoeBiden,,377,632,2782,"We must end this epidemic of violence against the transgender community — especially trans women of color. It’s up to all of us to stand up and give hate no safe harbor. Every American deserves to live open, proud, free and without fear.https://www.nytimes.com/2019/09/27/us/transgender-women-deaths.html?action=click&module=Top%20Stories&pgtype=Homepage …",,,,1178452395308851201,https://twitter.com/JoeBiden/status/1178452395308851201
2019-09-29 21:15:00,JoeBiden,,265,504,1987,"Let’s be clear, this attack is designed to weaken our unions and take away workers’ voices on the job. It’s wrong. I stand with Alaska’s public employees.https://www.adn.com/politics/2019/09/26/gov-dunleavy-orders-shakeup-of-public-employee-unions/ …",,,,1178417917899100160,https://twitter.com/JoeBiden/status/1178417917899100160
2019-09-29 20:01:00,JoeBiden,,730,1817,8539,"The science is clear: we cannot wait to take action on climate change. On day one, I’ll take unprecedented steps to rally the world and tackle this crisis head on. We can and will solve this — together.https://www.cnn.com/2019/09/25/world/un-ipcc-report-oceans-and-ice-climate-change/index.html …",,,,1178399295655075847,https://twitter.com/JoeBiden/status/1178399295655075847
2019-09-29 19:01:00,JoeBiden,,205,961,2516,"On Monday, $255 million in funding expires for historically black colleges and universities and minority-serving institutions. Senate Republicans need to pass the #FUTUREAct now. Our students and educators cannot afford to wait.https://www.washingtonpost.com/education/2019/09/19/lamar-alexander-blocks-vote-funding-minority-serving-colleges/ …",,,#FUTUREAct,1178384195950989313,https://twitter.com/JoeBiden/status/1178384195950989313
2019-09-29 16:25:00,JoeBiden,,2528,6115,32017,"President Trump is trying to hijack this election to distract from how he has turned his back on America's families: sabotaging our health care, prioritizing tax cuts for the super-wealthy, and rolling back our progress on climate change. We won't let him get away with it.",,,,1178344937030471680,https://twitter.com/JoeBiden/status/1178344937030471680
2019-09-29 14:01:00,JoeBiden,,183,482,3176,"To everyone in the Jewish community, @DrBiden and I wish you a very happy, healthy, and sweet New Year. #RoshHashanahpic.twitter.com/vSwRbJWKlz",,@DrBiden,#RoshHashanahpic,1178308698407686144,https://twitter.com/JoeBiden/status/1178308698407686144
2019-09-29 00:12:19,JoeBiden,,1083,5347,23715,"The Trump Administration is responsible for the largest reduction in federally protected land — it’s wrong. As president, I will reverse President Trump's actions and protect our precious federal lands for generations to come. #NationalPublicLandsDayhttps://www.rollingstone.com/politics/politics-news/largest-reduction-of-protected-lands-under-trump-843457/ …",,,#NationalPublicLandsDayhttps,1178100153426862081,https://twitter.com/JoeBiden/status/1178100153426862081
2019-09-28 21:11:00,JoeBiden,,768,1443,7129,"We need to take the next step in improving our nation’s health care system. The Affordable Care Act was an historic first step — we need to build on it, not start from scratch. I’ll protect and build on Obamacare to ensure everyone has access to affordable, quality health care.",,,,1178054523316604929,https://twitter.com/JoeBiden/status/1178054523316604929
2019-09-28 19:47:00,JoeBiden,,536,834,4577,"It is long past time to address the devastating effects of climate change. As president, I will take action against those who knowingly harm our environment.https://qz.com/1716840/are-we-finally-at-a-tipping-point-on-addressing-climate-change/ …",,,,1178033384041304064,https://twitter.com/JoeBiden/status/1178033384041304064
2019-09-28 17:48:00,JoeBiden,,1977,5615,35217,"It’s clear — we are in a battle for the soul of this nation. It’s time to pick our heads up and show the world who we are. We are the United States of America — there is nothing beyond our capacity.",,,,1178003436823965696,https://twitter.com/JoeBiden/status/1178003436823965696
2019-09-28 16:37:00,JoeBiden,,363,544,3259,"Yesterday in Las Vegas, we discussed the crucial need to address the gun violence epidemic. Folks, it’s time to pass common-sense gun safety legislation. I’ve beaten the @NRA twice — and as president, I’ll do it again.pic.twitter.com/5wRme6TCoJ",,@NRA,,1177985569055334401,https://twitter.com/JoeBiden/status/1177985569055334401
2019-09-28 01:39:12,JoeBiden,,1237,1605,9910,"Donald Trump has turned his back on America’s families. It’s time we rewarded work, not just wealth.pic.twitter.com/AwSdIyY11l",,,,1177759630858080256,https://twitter.com/JoeBiden/status/1177759630858080256
2019-09-28 00:50:00,JoeBiden,,326,439,1742,"In America, health care should be a right for all. But time and again, President Trump has made it harder for underrepresented and underserved communities to access the affordable, quality health care they need. It's shameful, and as president, I will reverse his actions.pic.twitter.com/CkgGpAekrl",,,,1177747248613974016,https://twitter.com/JoeBiden/status/1177747248613974016
2019-09-27 22:58:26,JoeBiden,nytimes,987,2647,12480,"We are not a country that detains migrant children indefinitely or denies them access to soap, toothbrushes, or beds. We are a country that welcomes those in search of a better life—the tired, the poor, the huddled masses yearning to breathe free. Trump doesn't get that.https://twitter.com/nytimes/status/1177691663944359936 …",,,,1177719172513615872,https://twitter.com/JoeBiden/status/1177719172513615872
2019-09-27 20:23:13,JoeBiden,fred_guttenberg,682,3895,17258,"If those in power don't take action to end our gun violence epidemic, we must vote them out. Period.https://twitter.com/fred_guttenberg/status/1176865451424567300 …",,,,1177680113644851201,https://twitter.com/JoeBiden/status/1177680113644851201
2019-09-27 18:25:57,JoeBiden,,14915,41710,196706,"I remember when we had a president our children could look up to.pic.twitter.com/hW5VvXG5vU",,,,1177650598868652033,https://twitter.com/JoeBiden/status/1177650598868652033
2019-09-27 17:01:00,JoeBiden,,3813,9200,72833,"I believe our elections should be decided by the American people — not foreign governments.",,,,1177629222518611969,https://twitter.com/JoeBiden/status/1177629222518611969
2019-09-27 15:45:00,JoeBiden,,1203,3567,15683,"Let's be clear, President Trump is trying to hijack this election. This isn’t a Democratic issue or a Republican issue. This is a national issue.pic.twitter.com/me7g8R0h72",,,,1177610095120867334,https://twitter.com/JoeBiden/status/1177610095120867334
2019-09-27 01:50:00,JoeBiden,,323,304,1428,"It’s been 11 days since @UAW workers started their strike to fight for higher wages, good benefits, and their fair share of the profits. It’s time for GM to come to the bargaining table with a fair offer that ends the strike and gets its workers back on the job.pic.twitter.com/rUYr35qFop",,@UAW,,1177399960293167104,https://twitter.com/JoeBiden/status/1177399960293167104
2019-09-27 00:50:00,JoeBiden,,403,435,1702,"Every American deserves access to quality, affordable health care—regardless of the state they live in. We can't let President Trump continue to work with states to undermine Medicaid and prevent low-income Americans from accessing health care.pic.twitter.com/G55JpxxJHn",,,,1177384860886994951,https://twitter.com/JoeBiden/status/1177384860886994951
2019-09-27 00:01:00,JoeBiden,,2245,4661,27942,"Every day it becomes clearer, the core values of our nation — our very democracy — are at risk with President Trump in the White House. We must hold Trump accountable. We cannot let him get away with shredding our Constitution.",,,,1177372529821986816,https://twitter.com/JoeBiden/status/1177372529821986816
2019-09-26 20:55:00,JoeBiden,,1322,2290,15313,"I want America to be the envy of the world again.pic.twitter.com/C69oPB7PHH",,,,1177325721204613122,https://twitter.com/JoeBiden/status/1177325721204613122
2019-09-26 18:20:00,JoeBiden,,423,418,1734,"Income inequality is on the rise across the country — made worse by President Trump’s tax cuts for the super-wealthy. We've got to rebuild the middle class and, this time, we’ll make sure everyone comes along.https://www.axios.com/income-inequality-united-states-record-c78b1ff4-4b71-4a88-a890-db20ff8222f3.html …",,,,1177286714072731649,https://twitter.com/JoeBiden/status/1177286714072731649
2019-09-26 15:40:00,JoeBiden,,3873,9846,56554,"We have a President who believes there is no limit to his power, who believes he can do anything and get away with it, and who believes he is above the law. This isn’t a Democratic issue or a Republican issue. This is a national issue.",,,,1177246449043562497,https://twitter.com/JoeBiden/status/1177246449043562497
2019-09-26 14:22:00,JoeBiden,,799,1403,8387,"If I am elected President, I guarantee you I will protect your family's health care as if it were my own. Because it's personal.pic.twitter.com/rkH4V5sVP1",,,,1177226819646447621,https://twitter.com/JoeBiden/status/1177226819646447621
2019-09-26 02:25:00,JoeBiden,,669,560,4003,"Enjoyed sitting down with @jimmykimmel to talk about what’s at stake in this election and the urgent need to make Donald Trump a one-term president. Tune in to @JimmyKimmelLive tonight!pic.twitter.com/P3zjYBGOIk",,@jimmykimmel @JimmyKimmelLive,,1177046380503683072,https://twitter.com/JoeBiden/status/1177046380503683072
2019-09-26 00:42:00,JoeBiden,,3299,7719,47728,"Donald Trump pressured Ukraine to manufacture a smear against a domestic political opponent — the “transcript” made that clear. It’s an abuse of power that violates the oath of office and undermines our democracy. Congress must hold him accountable.",,,,1177020459767873536,https://twitter.com/JoeBiden/status/1177020459767873536
2019-09-25 23:50:00,JoeBiden,,440,434,1625,"Across the country, health care premiums are rising because of President Trump. His attempts to tear down Obamacare have rattled the insurance marketplace and driven up costs for hardworking Americans. It's unacceptable.pic.twitter.com/vXNaNKXrYW",,,,1177007373937868800,https://twitter.com/JoeBiden/status/1177007373937868800
2019-09-25 22:08:14,JoeBiden,HuffPost,1600,1403,6900,"President Trump’s travel ban—the Muslim ban—remains one of his most egregious attacks on our core values. Spewing the politics of fear & slandering an entire religious community as complicit in terrorism is wrong & goes against everything we stand for. We must overturn the ban.https://twitter.com/HuffPost/status/1176686106462609408 …",,,,1176981763626864641,https://twitter.com/JoeBiden/status/1176981763626864641
2019-09-25 20:10:00,JoeBiden,,1640,1456,6999,"Our president put personal politics above his sacred oath. The House must do its job and hold Donald Trump to account for his abuse of power. I will do mine, making my case for a presidency that will mean real help for those in our country who need it most.pic.twitter.com/NVbk9cnXEx",,,,1176952008676388866,https://twitter.com/JoeBiden/status/1176952008676388866
2019-09-25 00:43:17,JoeBiden,CNN,1363,2916,21527,"Inspired by the courage and tenacity of @GretaThunberg. She is right — we cannot fail future generations any longer. We must take urgent, drastic action to address the climate emergency before it’s too late.https://twitter.com/CNN/status/1176159504288886785 …",,@GretaThunberg,,1176658394519916544,https://twitter.com/JoeBiden/status/1176658394519916544
2019-09-25 00:30:00,JoeBiden,,289,185,765,"El derecho al voto es el derecho más sagrado como estadounidense, y depende de nosotros hacer que se escuche nuestra voz en cada elección. Dirígete a http://IWillVote.com para registrarte para votar y envíalo a cinco amigos para que también se registren.",,,,1176655052532047872,https://twitter.com/JoeBiden/status/1176655052532047872
2019-09-24 23:55:00,JoeBiden,,424,409,1605,"President Trump cut outreach programs that help people get health insurance coverage. At every turn, he has sabotaged the ACA and made it harder for Americans to access health care. It's wrong. I'll protect and build on Obamacare to ensure everyone receives the care they need.pic.twitter.com/cqpSDxQeOm",,,,1176646243952529408,https://twitter.com/JoeBiden/status/1176646243952529408
2019-09-24 22:20:00,JoeBiden,,1542,3276,16518,"Pressuring the leader of another nation to investigate a political opponent — to help win an election — is not the conduct of an American President.pic.twitter.com/XlaHbHxCMI",,,,1176622336415424512,https://twitter.com/JoeBiden/status/1176622336415424512
2019-09-24 20:25:34,JoeBiden,,3138,9219,57760,"President Trump's actions are an abuse of power. They undermine our national security. They violate the oath of office. If we allow a President to get away with shredding the United States Constitution — that will last forever.",,,,1176593538617884673,https://twitter.com/JoeBiden/status/1176593538617884673
